ycid,time,a,b,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,sum
1923270,2014/1/21,1,1.11111E+95,7.8,7.2,8.1,6.9,7.8,6.6,7.2,6.6,7.2,6.3,7.8,7.2,9,7.2,8.4,7.5,7.8,6.6,8.7,6.9,8.4,7.2,7.8,6.6,7.5,6.3,7.2,6.3,7.2,6.6,7.8,6.6,7.8,6.6,6.6,6.6,7.5,6.3,7.5,6.6,7.8,7.5,8.7,7.8,8.1,6,7.5,6.9,7.5,6.9,7.8,6.9,7.5,6.3,7.8,6.9,7.5,6,7.2,5.7,6.3,5.4,6.3,5.4,6.9,6,7.2,6,6.3,5.1,6.3,5.7,6.9,6.6,7.8,6.6,7.5,6.6,7.8,6.6,7.5,6.6,7.5,6.6,7.8,6.6,7.5,6.6,6.9,6.6,7.2,6.3,7.5,6.6,6.9,6.6,674.7
1923270,2014/1/22,1,1.11111E+95,7.2,6.3,7.2,6.3,7.2,6.6,7.2,6,7.2,6.3,9.3,6.3,8.7,7.2,8.4,7.5,7.8,7.5,9.6,6.9,8.4,6.3,7.8,6.6,6.6,6.6,7.2,6.6,7.2,5.7,6.9,6.6,8.1,6.6,7.8,6.9,8.7,6.3,7.5,6.6,8.7,7.8,8.7,8.1,9,6.9,7.5,6.6,7.5,6.6,7.2,6,7.2,6.3,7.2,6.3,7.2,6,6,4.8,5.7,4.8,5.7,5.4,7.5,5.7,6.9,6.3,6.9,6.6,6.9,6.3,7.2,6.3,7.2,6.3,7.2,6.3,6.9,6.3,6.9,6,6.9,5.7,7.2,6,6.9,5.7,7.2,6,6.9,6,6.9,6,6.9,6.3,661.2
1923270,2014/1/23,1,1.11111E+95,6.6985,6.6786,6.6492,6.614,6.5765,6.5376,6.499,6.4703,6.468,6.5055,6.5862,6.7011,6.8293,6.9466,7.0387,7.1043,9,8.1,8.7,8.1,9.6,7.8,8.4,7.5,8.4,7.8,7.8,6,7.2,5.7,7.5,6,6.9,6,6,5.4,5.7,6,6.6,5.7,6.3,6,7.8,7.5,8.4,7.2,7.8,6.6,6.9,5.7,6.6,5.7,6.3,5.4,6,5.7,6,5.7,6,5.4,6.3,5.7,7.5,6,7.2,7.2,7.5,6.9,6.6,5.1,6.3,5.1,6.3,5.7,6.6,5.7,6.9,5.7,6.6,6.3,8.1,6.9,7.5,6.9,7.8,6.9,8.1,7.2,8.4,7.2,7.5,7.2,8.4,6.9,7.8,6.6,654.4
1923270,2014/1/24,1,1.11111E+95,7.8,6.9,8.7,7.5,8.4,7.5,7.8,6.6,6.9,6,6.6,6,7.8,7.2,8.1,7.2,7.8,7.2,9.3,7.8,9.6,8.4,9.6,8.1,8.4,7.8,8.4,7.2,8.4,6.9,7.5,6.3,6.9,6.3,8.1,6.9,7.2,4.2,5.4,6.3,6,7.8,6,7.5,6.3,6,5.4,6.3,5.7,6.6,5.4,6,4.8,5.4,5.1,5.4,4.8,5.7,4.5,5.1,4.2,4.2,3.9,3.9,3.9,4.8,4.2,4.8,3.9,4.2,3.9,3.9,3.3,4.5,4.8,5.7,5.1,6,5.1,6,5.1,5.7,4.8,5.7,5.1,5.7,4.8,5.4,5.1,5.1,4.2,4.2,3.9,3.9,3.6,3.9,579.3
1923270,2014/1/25,1,1.11111E+95,3.9,3.9,3.3,3.9,3.3,3.9,4.2,4.8,4.2,4.8,4.2,4.8,3.9,5.1,4.5,4.8,4.5,5.4,4.8,4.8,3.9,5.1,3.9,4.8,3.9,3.9,3.3,4.8,3.6,5.1,4.8,5.7,4.2,4.8,3.9,4.5,3.9,4.5,4.2,4.5,3.9,5.1,4.2,5.4,3.9,3.9,3,3.6,3.6,3.6,3.3,3.9,3,3.6,2.7,3.3,3.9,4.5,3.6,3.9,3.9,4.5,4.2,4.5,4.5,5.4,5.1,5.7,4.5,5.1,4.5,5.4,5.1,4.8,3.9,4.2,3.9,4.5,4.2,5.1,4.2,4.8,4.2,4.8,4.5,5.4,4.8,6,5.1,6,5.1,5.7,5.1,5.7,5.1,6,425.7
1923270,2014/1/26,1,1.11111E+95,5.1,6,5.1,5.7,5.1,5.4,3.9,4.5,3.9,4.8,4.2,5.1,4.2,5.4,4.5,5.1,4.8,5.1,3.9,5.4,5.4,6,5.4,6.3,5.1,5.7,4.8,5.4,5.1,5.4,5.1,5.7,4.8,6,5.1,6.3,5.4,6.3,5.7,6.9,6.3,6.9,5.4,6,4.8,4.8,4.2,4.5,4.5,4.2,4.5,5.1,5.1,5.4,5.1,5.7,5.1,6.3,4.8,6,5.1,5.7,5.4,5.7,5.1,6,5.1,6,5.1,6.3,5.1,6.3,5.4,6.6,5.4,5.1,4.5,5.4,4.5,5.1,4.5,5.1,4.8,5.4,4.2,5.4,4.5,6.3,5.4,6.3,5.4,6,5.4,5.7,5.4,6.3,508.8
1923270,2014/1/27,1,1.11111E+95,5.4,6.3,5.7,6.3,5.4,5.4,4.2,5.1,4.5,5.4,4.8,5.1,4.5,5.7,5.7,6.6,6,6,5.1,7.2,6.3,7.2,6.6,6.6,6,6.3,6,6.3,5.1,6,5.7,6.9,6.3,6.3,5.1,6,5.7,6.6,5.7,6.6,6,7.2,6,7.2,6,6,5.4,6.3,4.8,4.8,4.2,4.2,3.6,3.9,3.6,4.2,3.6,3.9,3.3,3.9,3.3,4.8,4.5,5.4,4.8,6,5.4,6,5.1,5.4,4.8,4.8,4.5,5.1,5.1,5.7,4.8,6.3,5.1,6,5.1,5.7,4.2,4.8,4.2,4.8,3.9,4.5,3.9,4.8,3.9,4.5,3.9,4.8,4.2,6,507.9
1923270,2014/1/28,1,1.11111E+95,5.1,5.4,4.8,5.7,4.8,5.7,5.1,5.4,5.1,6,4.8,5.7,4.2,4.8,5.1,6,4.8,6,5.1,5.7,4.5,5.4,5.1,5.7,5.1,5.7,4.5,6,5.1,5.4,5.1,6.3,5.4,6.3,5.4,6.6,5.4,5.7,5.4,5.7,5.1,5.4,4.2,4.8,4.2,4.5,3.9,4.5,3.9,4.2,3.9,4.5,4.2,4.8,4.5,5.4,4.5,4.8,4.2,5.1,4.8,5.7,5.1,5.4,4.8,5.7,5.7,6,4.2,4.8,4.2,4.5,3.9,4.8,4.2,4.5,4.2,4.8,4.2,5.7,5.4,6,5.4,6.6,5.4,6,5.1,6.6,5.4,6.6,5.7,6,5.7,6,5.4,6,496.2
1923270,2014/1/29,1,1.11111E+95,7.5,5.1,4.5,5.1,4.2,4.8,4.2,4.8,4.2,4.8,3.9,5.1,4.5,6.3,6,5.7,4.8598,4.8742,5.1,5.7,5.4,6.6,5.1,6,4.8,4.8,3.9,4.5,4.2,4.5,3.9,4.5,4.2,4.8,4.2,4.8,4.8,5.7,5.1,6.6,6.6,7.2,6.9,6.3,5.4,5.4,4.8,5.4,4.8,5.4,4.8,5.1,4.5,4.5,3.3,3.3,3,3.9,3.3,3.3,2.7,3.6,3.3,3.9,3.9,4.2,3.9,4.5,3.9,3.9,3.6,4.2,3.6,4.2,3.9,4.5,3.9,4.5,3,3.3,2.7,3.6,3.3,3.6,3,3.6,3,3.9,3,3.9,3.6,4.8,4.5,5.7,4.8,5.4,435.73
1923270,2014/1/30,1,1.11111E+95,4.5,5.7,4.2,5.4,4.2,5.4,4.5,3.9,3.6,3.9,3.6,4.8,4.2,5.4,4.8,4.8,4.2,5.7,4.8,5.1,4.8,6,5.1,5.7,4.5,4.8,4.2,5.1,3.9,4.5,3,3.9,3,3.9,3,3.9,3.6,3.9,3.9,3.6,3.6,4.8,4.2,4.8,4.2,4.5,3.6,3.9,3.6,4.2,4.2,4.5,3.9,4.2,3,2.7,2.1,2.4,2.7,2.7,2.1,2.7,2.7,2.7,2.4,2.1,2.7,3.9,3.6,3.9,3.6,3,3,3.3,3.3,3.6,3.6,4.2,3.9,4.5,3.9,4.5,3.9,4.8,3.6,4.2,3,3.6,3,3.3,2.7,3.3,3,3,3,3,371.4
