,1,2,3,4,5,6,7,pre
215,4.2,3.9,4.5,3.9,5.1,3.3,3.0,3.0
216,3.9,4.5,3.9,5.1,3.3,3.0,3.0,2.4
217,4.5,3.9,5.1,3.3,3.0,3.0,2.4,3.9
218,3.9,5.1,3.3,3.0,3.0,2.4,3.9,3.3
219,5.1,3.3,3.0,3.0,2.4,3.9,3.3,2.4
220,3.3,3.0,3.0,2.4,3.9,3.3,2.4,2.7
221,3.0,3.0,2.4,3.9,3.3,2.4,2.7,2.1
222,3.0,2.4,3.9,3.3,2.4,2.7,2.1,1.8
223,2.4,3.9,3.3,2.4,2.7,2.1,1.8,2.1
224,3.9,3.3,2.4,2.7,2.1,1.8,2.1,1.8
225,3.3,2.4,2.7,2.1,1.8,2.1,1.8,2.4
226,2.4,2.7,2.1,1.8,2.1,1.8,2.4,3.3
227,2.7,2.1,1.8,2.1,1.8,2.4,3.3,4.2
228,2.1,1.8,2.1,1.8,2.4,3.3,4.2,4.5
229,1.8,2.1,1.8,2.4,3.3,4.2,4.5,3.0
230,2.1,1.8,2.4,3.3,4.2,4.5,3.0,2.7
231,1.8,2.4,3.3,4.2,4.5,3.0,2.7,1.8
232,2.4,3.3,4.2,4.5,3.0,2.7,1.8,2.1
233,3.3,4.2,4.5,3.0,2.7,1.8,2.1,2.7
234,4.2,4.5,3.0,2.7,1.8,2.1,2.7,3.3
235,4.5,3.0,2.7,1.8,2.1,2.7,3.3,4.5
236,3.0,2.7,1.8,2.1,2.7,3.3,4.5,4.2
237,2.7,1.8,2.1,2.7,3.3,4.5,4.2,3.0
238,1.8,2.1,2.7,3.3,4.5,4.2,3.0,1.8
239,2.1,2.7,3.3,4.5,4.2,3.0,1.8,1.8
240,2.7,3.3,4.5,4.2,3.0,1.8,1.8,2.7
241,3.3,4.5,4.2,3.0,1.8,1.8,2.7,3.6
242,4.5,4.2,3.0,1.8,1.8,2.7,3.6,3.0
243,4.2,3.0,1.8,1.8,2.7,3.6,3.0,3.0
