,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
18162,0.11,0.04,0.04,0.07,0.19,0.26,0.66,0.03,0.04,0.13,0.62,0.1855,0.06,0.07,0.1,0.05,0.2113,0.2476,0.35,0.45,0.53,0.69,0.24,0.09
18528,0.07,0.01,0.03,0.04,0.05,0.01,0.05,0.04,0.03,0.04,0.02,0.05,0.04,0.02,0.05,0.04,0.03,0.05,0.06,0.0,0.04,0.095,0.1015,0.07
18894,0.1544,0.0894,0.03,0.06,0.06,0.05,0.07,0.1,0.09,0.22,0.15,0.17,0.16,0.13,0.15,0.47,0.2684,0.8,0.65,0.11,0.2831,0.2675,0.24,0.1
19260,0.26,0.15,0.09,0.04,0.0362,0.0801,0.04,0.03,0.35,0.17,0.09,0.05,0.04,0.05,0.04,0.05,0.31,0.51,0.36,0.74,0.47,0.23,0.18,0.23
19626,0.03,0.03,0.18,0.04,0.04,0.03,0.03,0.16,0.34,0.15,0.2,0.48,0.24,0.22,0.95,0.21,0.36,0.41,0.36,0.21,0.16,0.07,0.16,0.03
20576,0.2577,0.0851,0.03,0.07,0.0589,0.2551,0.08,0.5,0.98,0.647,0.5759,0.78,0.41,0.29,0.3505,0.4157,0.11,0.5,0.7,2.61,1.58,1.04,0.62,0.32
20942,0.66,0.11,0.23,0.2,0.18,0.19,0.19,0.18,0.36,0.08,0.38,0.43,0.36,0.26,0.14,0.12,0.07,0.11,0.18,0.23,0.37,0.48,0.47,0.75
21301,0.04,0.03,0.07,0.04,0.04,0.07,0.03,0.21,0.08,0.04,0.39,0.06,0.13,0.04,0.02,0.08,0.02,0.08,0.34,0.34,0.32,0.64,0.04,0.08
21667,0.9794,0.15,0.1,0.1,0.1,0.11,0.15,0.196,0.2258,0.09,0.09,0.09,0.13,0.16,0.08,0.09,0.2416,0.3774,0.7178,2.57,2.42,2.34,3.16,1.63
22026,0.09,0.07,0.08,0.08,0.06,0.09,0.07,0.09,0.08,0.43,0.42,0.19,0.12,0.05,0.1,0.05,0.15,0.18,0.57,0.28,5.05,3.0,1.05,0.28
22392,0.07,0.0571,0.0475,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.07,0.22,0.21,0.09,0.11,0.41,0.08,0.12,0.12,0.12,0.19,0.19,0.2503,0.41
22758,1.08,0.95,1.04,1.04,1.04,1.05,1.05,1.05,1.36,0.93,0.05,0.07,0.08,0.36,0.05,0.17,0.09,0.05,0.56,1.95,3.9,1.31,1.61,2.21
23136,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.08,0.01,0.01,0.12,0.07,0.1,0.05,0.07,0.1,0.03,0.03
23502,0.4713,0.4642,0.5214,0.52,1.21,0.9178,0.8362,0.52,0.37,0.2276,0.1555,0.02,0.04,0.1323,0.1395,0.03,0.03,0.02,0.3395,0.3939,0.15,0.41,0.68,0.6
23793,0.9,0.12,0.06,0.12,0.15,0.07,0.07,0.06,0.06,0.67,0.3864,0.3587,0.23,0.21,0.47,0.11,0.07,0.05,0.04,0.07,1.36,1.6,1.65,1.22
24158,0.07,0.05,0.06,0.05,0.05,0.06,0.06,0.05,0.21,0.17,0.09,0.11,0.14,0.14,0.15,0.14,0.15,0.14,0.41,0.18,0.31,0.35,0.31,0.27
24524,0.17,0.07,0.09,0.08,0.14,0.13,0.1,0.09,0.14,0.17,0.4,0.3,0.09,0.14,0.03,0.08,0.1,0.09,0.09,0.09,0.1,0.09,0.55,1.02
24878,0.18,0.16,0.18,0.16,0.17,0.18,0.16,0.18,0.17,0.16,0.17,0.14,0.19,0.13,0.16,0.15,0.1,0.18,0.15,0.17,0.17,0.15,0.17,0.18
25243,0.2,0.06,0.08,0.07,0.05,0.1,0.06,0.06,0.98,1.32,0.27,0.1,0.07,0.2134,0.2452,0.86,1.19,1.15,0.14,0.06,0.07,0.08,1.36,1.85
25609,0.08,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.15,0.13,0.12,0.04,0.04,0.03,0.18,0.11,0.09,0.16,0.07,0.06,0.21
25975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26683,0.7591,0.4921,0.18,0.16,0.21,0.19,0.21,0.13,0.24,0.4,0.46,0.3,0.6,0.67,0.76,0.7641,0.8421,0.82,1.83,2.05,1.6392,1.6721,1.3,1.37
27031,0.1966,0.1632,0.1447,0.1379,0.1427,0.15,0.1882,0.2112,0.48,0.43,0.46,0.29,0.13,0.13,0.07,0.11,0.69,0.2,0.12,0.21,0.46,0.3562,0.3676,0.32
27190,0.17,0.14,0.15,0.15,0.17,0.16,0.19,0.15,0.5,0.31,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.15,0.16,0.15,0.14,0.14,0.14,0.15
27527,0.3933,0.2619,0.1931,0.1729,0.27,0.38,0.34,0.36,0.36,0.3942,0.4793,0.35,0.69,0.97,0.51,0.39,0.48,0.44,0.64,0.7,0.36,0.39,0.36,0.37
27887,0.4,0.3469,0.2961,0.26,0.27,0.25,0.26,0.26,0.3198,0.97,0.26,0.43,0.25,0.25,0.25,0.28,0.58,0.76,0.62,0.56,0.42,0.41,0.5387,0.5022
28583,0.1,0.07,0.08,0.08,0.08,0.0666,0.0939,0.08,0.08,0.16,0.1381,0.1165,0.1,0.11,0.24,0.11,0.11,0.21,0.12,0.14,1.1,1.33,1.06,1.26
28949,0.1,0.03,0.08,0.08,0.08,0.09,0.07,0.16,0.2,0.04,0.08,0.08,0.17,0.12,0.04,0.05,0.24,0.27,0.23,0.18,0.08,0.14,0.04,0.04
29311,0.2,0.17,0.21,0.2,0.16,0.11,0.12,0.1,0.76,0.07,0.07,0.16,0.11,0.09,0.12,0.08,0.11,0.19,0.61,0.26,0.26,0.24,0.23,0.08
29675,0.12,0.15,0.13,0.16,0.26,0.24,0.28,0.23,0.23,0.25,0.21,0.21,0.34,0.19,0.11,0.11,0.12,0.13,0.16,0.13,0.12,0.16,0.12,0.12
33002,0.15,0.04,0.05,0.06,0.06,0.24,0.1239,0.06,0.03,0.06,0.05,0.05,0.05,0.04,0.05,0.06,0.04,0.06,0.0981,0.1154,0.22,0.1,0.12,0.07
33368,0.05,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.16,0.17,0.09,0.0546,0.04,0.03,0.03,0.19,0.04,0.09,0.52,0.3558,0.3431,0.28,0.26
33767,1.52,1.66,0.55,0.39,0.56,0.32,0.31,1.04,0.36,0.6781,0.7336,0.35,1.09,1.01,0.53,0.99,1.51,1.21,0.38,0.59,0.44,1.57,1.73,0.81
34133,0.14,0.08,0.11,0.1,0.05,0.07,0.05,0.15,0.22,0.1,0.06,0.05,0.05,0.11,0.06,0.1,0.1,0.12,0.09,0.07,0.06,0.07,0.19,0.2718
34499,0.85,0.49,0.67,0.41,0.29,0.47,0.29,0.79,0.43,0.46,0.25,0.8,0.88,2.82,2.86,1.89,1.6,0.54,0.67,2.9,2.36,1.55,1.26,1.86
34877,0.17,0.52,0.17,0.07,0.09,0.08,0.05,0.16,1.14,1.17,0.3,0.1,0.15,0.21,0.39,0.11,0.14,0.09,1.57,1.27,1.6,0.16,0.49,0.35
35219,0.83,2.99,1.01,0.4,0.42,0.4,0.52,0.28,0.52,0.4,1.67,1.36,2.25,1.78,1.35,0.23,0.13,0.54,0.24,0.38,0.12,1.65,2.92,2.17
35707,1.21,0.4568,0.3588,0.52,0.54,0.52,0.5,0.51,0.94,1.71,0.7587,0.6854,0.09,0.08,0.09,0.6193,0.7375,0.89,1.16,1.37,1.12,1.19,2.58,1.42
36073,0.16,0.11,0.11,0.15,0.12,0.151,0.1527,0.13,0.12,0.13,0.12,0.13,0.14,0.11,0.12,0.15,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.14
36438,0.54,0.38,0.54,0.34,0.43,0.59,0.37,0.45,0.71,1.1,2.4,1.7,1.71,2.09,2.18,0.89,0.95,1.68,1.97,2.06,2.09,1.7,0.91,0.85
36804,1.37,1.11,1.14,1.15,1.12,1.11,1.06,1.08,1.06,0.42,0.04,0.03,0.04,0.06,0.06,0.12,0.31,0.06,0.05,0.19,0.64,0.89,0.26,0.28
37170,1.68,0.89,0.06,0.06,0.09,0.06,0.06,0.07,1.1641,1.1974,0.18,1.34,0.6,2.27,0.74,0.19,0.17,0.11,1.26,2.43,2.04,2.21,0.42,1.66
37536,0.18,0.15,0.22,0.24,0.23,0.22,0.14,0.13,0.12,0.13,0.13,0.12,0.16,0.22,0.21,0.17,0.17,0.16,0.2162,0.22,0.26,0.23,0.24,0.33
37898,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.27,0.21,0.13,0.14,0.21,0.24,0.23,0.14,0.2,0.24,0.16,0.19,0.24,0.15,0.14,0.14
38263,0.06,0.05,0.03,0.03,0.05,0.05,0.04,0.04,0.48,0.12,0.11,0.52,0.75,0.53,0.13,0.2,0.13,0.46,0.42,0.61,0.56,0.08,0.07,0.08
38629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38995,0.1,0.0479,0.0786,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.35,0.88,0.82,0.81,0.76,0.74,0.87,0.78,0.98,0.22,0.15,0.19,0.0,0.0
39696,0.09,0.06,0.06,0.07,0.08,0.08,0.41,0.33,0.24,0.09,0.12,0.14,0.12,0.14,0.15,0.16,0.19,0.28,0.45,0.43,0.17,0.14,0.12,0.11
40062,4.73,0.05,0.34,0.18,0.39,0.3,0.24,1.05,2.23,1.13,0.48,0.64,0.79,1.23,0.29,1.17,0.58,0.53,0.97,2.65,1.71,2.01,1.59,3.22
40428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40794,0.53,0.11,0.26,0.19,0.2879,0.3625,0.39,0.31,0.21,0.4913,0.4208,0.3942,0.3925,0.3866,0.3776,0.14,0.38,0.6024,0.7326,0.8515,0.72,1.1,1.87,0.46
41385,2.69,2.1527,1.9681,1.94,2.06,2.08,1.99,2.76,1.56,1.84,1.96,0.5513,0.4821,0.4335,0.3857,1.04,0.06,0.07,0.28,0.41,1.55,1.62,1.55,1.53
41751,1.64,0.48,1.05,1.04,1.12,0.61,0.06,0.03,0.02,0.03,0.04,0.03,0.04,0.02,0.03,0.04,0.03,0.06,0.11,0.21,0.22,0.24,1.25,1.07
42117,3.0706,2.3138,1.67,2.66,1.3875,1.239,2.1,1.16,1.29,1.32,1.32,1.29,0.9,1.1347,1.0917,2.14,0.48,0.42,2.08,2.03,1.91,2.41,2.38,3.87
42470,0.41,0.33,0.26,0.27,0.24,0.3,0.31,0.28,0.2307,0.2227,0.15,0.16,0.13,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.34,0.47,0.24,0.15
42835,0.2,0.11,1.86,0.5619,0.21,0.14,0.1,0.4163,0.4411,0.1,0.13,0.1,0.11,1.76,2.37,0.6854,2.77,2.52,0.14,0.09,0.12,0.1,0.1,0.13
43199,0.93,0.81,0.89,0.9,0.89,0.91,1.06,1.8,1.04,0.23,0.2,0.32,0.26,0.17,0.74,0.37,0.25,0.29,0.35,0.62,0.78,0.29,0.65,1.32
43564,0.05,0.05,0.06,0.03,0.05,0.06,0.03,0.05,0.05,0.03,0.05,0.05,0.04,0.04,0.05,0.05,0.03,0.05,0.05,0.05,0.03,0.05,0.06,0.03
43927,1.0737,1.0668,0.64,0.88,1.2801,1.2474,1.53,1.31,1.32,0.9633,0.8512,0.55,0.63,0.27,0.713,0.771,1.7,1.22,0.78,1.6355,1.8725,1.57,2.9,2.11
44536,0.73,0.64,0.61,0.1821,0.49,0.64,0.29,0.33,0.99,0.23,0.27,0.21,0.27,0.14,0.06,0.03,0.09,0.04,0.5,1.0,0.94,1.18,1.26,0.43
44902,4.6738,3.4187,2.6747,2.19,2.55,2.0317,2.0067,2.27,2.22,3.94,2.86,1.22,2.3179,2.3379,1.23,2.26,2.58,3.53,3.31,3.27,1.71,3.5412,4.2289,5.11
45222,0.19,0.3793,0.3712,0.11,0.86,1.2,0.6044,0.5114,0.17,0.11,0.1,0.11,0.12,0.14,0.35,0.17,0.19,0.09,0.49,0.36,1.41,0.34,0.1,0.1
45719,0.26,0.3203,0.2192,0.19,0.14,0.18,0.13,0.19,0.21,0.15,0.58,1.24,0.65,0.55,0.16,0.25,1.7,1.66,1.84,2.93,3.64,2.47,3.2,2.037
46085,0.34,0.27,0.28,0.24,0.3,0.338,0.3576,0.3198,0.31,0.06,0.08,0.17,0.06,0.07,0.07,0.12,0.06,0.07,0.13,0.12,0.42,0.33,0.45,0.28
46446,0.17,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.1549,0.1831,0.2,0.29,0.31,0.08,0.1,0.09,0.26,0.31,0.25,0.28,0.33,0.36,0.6
47153,0.14,0.12,0.15,0.13,0.13,0.13,0.13,0.14,0.54,0.26,0.21,0.23,0.72,0.2,0.17,0.14,0.15,0.88,1.48,0.5892,0.69,0.97,0.32,0.2
47517,0.1,0.09,0.11,0.11,0.11,0.12,0.1,0.14,0.12,0.1,0.08,0.11,0.09,0.09,0.09,0.11,0.11,0.08,0.1,0.1,0.09,0.09,0.1,0.09
